Model,Task,Name,Dropout,WeightDecay,LearningRate,BatchSize,Epochs,Accuracy,Precision,Recall,F1,AUROC,AUPRC,Sensitivity,Specificity
Image,edema,dp0.1_wd0.01_lr1e-05_bs32,0.1,0.01,1e-05,32,20,,0.7527322404371585,0.8858520900321544,0.8138847858197932,0.9152115975754526,0.8884907926471903,0.8858520900321544,0.7787286063569682
Image,effusion,dp0.1_wd0.01_lr1e-05_bs32,0.1,0.01,1e-05,32,20,,0.8414634146341463,0.9067017082785808,0.872865275142315,0.9296290633787416,0.9293268815048569,0.9067017082785808,0.8085419734904271
Image,edema,dp0.1_wd0.01_lr1e-05_bs64,0.1,0.01,1e-05,64,20,,0.8084772370486656,0.8279742765273312,0.818109610802224,0.9134250269263123,0.8911129132740896,0.8279742765273312,0.8508557457212714
Image,effusion,dp0.1_wd0.01_lr1e-05_bs64,0.1,0.01,1e-05,64,20,,0.8746594005449592,0.8436268068331143,0.8588628762541806,0.928823983635206,0.9323325681858332,0.8436268068331143,0.8645066273932254
Image,edema,dp0.1_wd0.01_lr5e-05_bs16,0.1,0.01,5e-05,16,20,,0.8508946322067594,0.6881028938906752,0.7608888888888888,0.902507095181566,0.866143833638386,0.6881028938906752,0.9083129584352079
Image,effusion,dp0.1_wd0.01_lr5e-05_bs16,0.1,0.01,5e-05,16,20,,0.803921568627451,0.9159001314060446,0.8562653562653563,0.922389151550456,0.9310743405270472,0.9159001314060446,0.7496318114874816
Image,edema,dp0.1_wd0.01_lr5e-05_bs32,0.1,0.01,5e-05,32,20,,0.8327272727272728,0.7363344051446945,0.7815699658703071,0.9036647300686326,0.8722729641617859,0.7363344051446945,0.8875305623471883
Image,effusion,dp0.1_wd0.01_lr5e-05_bs32,0.1,0.01,5e-05,32,20,,0.8204819277108434,0.8948751642575559,0.8560653676932747,0.9252378952583512,0.931752162653981,0.8948751642575559,0.780559646539028
Image,edema,dp0.1_wd0.01_lr5e-05_bs64,0.1,0.01,5e-05,64,20,,0.7909774436090226,0.8456591639871383,0.8174048174048174,0.9125897216173083,0.8833736412705535,0.8456591639871383,0.8300733496332519
Image,effusion,dp0.1_wd0.01_lr5e-05_bs64,0.1,0.01,5e-05,64,20,,0.8317535545023697,0.9224704336399474,0.874766355140187,0.934074419558793,0.9385732035461738,0.9224704336399474,0.7908689248895434
